sub,run,mean_FD,max_FD,FD_outliers,epi_mni_corr,t1_mni_corr,flag
sub-15,1,0.0828675,0.317796 ,0,0.69,0.71,OK
sub-15,2,0.0848263,0.375523 ,0,0.69,0.71,OK
