sub,run,mean_FD,max_FD,FD_outliers,epi_mni_corr,t1_mni_corr,flag
sub-33,1,0.164793,1.11142 ,13,0.67,0.71,OK
sub-33,2,0.506621,4.27684 ,74,0.70,0.71,CHECK
