sub,run,mean_FD,max_FD,FD_outliers,epi_mni_corr,t1_mni_corr,flag
sub-11,1,0.0327272,0.147553 ,0,0.58,0.71,OK
sub-11,2,0.0338439,0.152934 ,0,0.58,0.71,OK
