sub,run,mean_FD,max_FD,FD_outliers,epi_mni_corr,t1_mni_corr,flag
sub-03,1,0.0790591,0.72392 ,1,0.56,0.72,OK
sub-03,2,0.162548,1.20532 ,3,0.57,0.72,OK
