sub,run,mean_FD,max_FD,FD_outliers,epi_mni_corr,t1_mni_corr,flag
sub-14,1,0.136809,0.502659 ,1,0.66,0.72,OK
sub-14,2,0.142727,0.334751 ,0,0.66,0.72,OK
