sub,run,mean_FD,max_FD,FD_outliers,epi_mni_corr,t1_mni_corr,flag
sub-17,1,0.111588,0.471479 ,0,0.58,0.71,OK
sub-17,2,0.0961717,0.364561 ,0,0.58,0.71,OK
