sub,run,mean_FD,max_FD,FD_outliers,epi_mni_corr,t1_mni_corr,flag
sub-35,1,0.0754746,0.660763 ,1,0.61,0.71,OK
sub-35,2,0.0529889,0.200248 ,0,0.60,0.71,OK
