sub,run,mean_FD,max_FD,FD_outliers,epi_mni_corr,t1_mni_corr,flag
sub-01,1,0.0789093,0.541479 ,1,0.52,0.71,OK
sub-01,2,0.0817274,0.429935 ,0,0.53,0.71,OK
