sub,run,mean_FD,max_FD,FD_outliers,epi_mni_corr,t1_mni_corr,flag
sub-40,1,0.0745111,0.659239 ,4,0.67,0.72,OK
sub-40,2,0.125218,2.10267 ,5,0.68,0.72,OK
