sub,run,mean_FD,max_FD,FD_outliers,epi_mni_corr,t1_mni_corr,flag
sub-43,1,0.0418962,0.345377 ,0,0.69,0.72,OK
sub-43,2,0.0514988,0.603684 ,3,0.69,0.72,OK
