sub,run,mean_FD,max_FD,FD_outliers,epi_mni_corr,t1_mni_corr,flag
sub-08,1,0.108973,0.610826 ,2,0.61,0.72,OK
sub-08,2,0.130259,0.842278 ,3,0.62,0.72,OK
