sub,run,mean_FD,max_FD,FD_outliers,epi_mni_corr,t1_mni_corr,flag
sub-18,1,0.112257,0.497951 ,0,0.71,0.72,OK
sub-18,2,0.135185,0.597964 ,2,0.71,0.72,OK
