sub,run,mean_FD,max_FD,FD_outliers,epi_mni_corr,t1_mni_corr,flag
sub-41,1,0.071547,0.487863 ,0,0.66,0.71,OK
sub-41,2,0.0499594,0.291222 ,0,0.65,0.71,OK
