sub,run,mean_FD,max_FD,FD_outliers,epi_mni_corr,t1_mni_corr,flag
sub-34,1,0.0670567,0.364934 ,0,0.64,0.71,OK
sub-34,2,0.042844,0.163144 ,0,0.64,0.71,OK
