sub,run,mean_FD,max_FD,FD_outliers,epi_mni_corr,t1_mni_corr,flag
sub-28,1,0.0857042,0.425117 ,0,0.64,0.72,OK
sub-28,2,0.299843,1.15415 ,50,0.64,0.72,OK
