sub,run,mean_FD,max_FD,FD_outliers,epi_mni_corr,t1_mni_corr,flag
sub-32,1,0.0615626,0.352077 ,0,0.64,0.72,OK
sub-32,2,0.0502604,0.226435 ,0,0.64,0.72,OK
