sub,run,mean_FD,max_FD,FD_outliers,epi_mni_corr,t1_mni_corr,flag
sub-05,1,0.0434605,0.360538 ,0,0.61,0.71,OK
sub-05,2,0.0556215,0.425205 ,0,0.61,0.71,OK
