sub,run,mean_FD,max_FD,FD_outliers,epi_mni_corr,t1_mni_corr,flag
sub-23,1,0.0672331,0.196143 ,0,0.68,0.71,OK
sub-23,2,0.0866835,0.270741 ,0,0.68,0.71,OK
