sub,run,mean_FD,max_FD,FD_outliers,epi_mni_corr,t1_mni_corr,flag
sub-25,1,0.0622305,0.380808 ,0,0.66,0.71,OK
sub-25,2,0.0459698,0.63422 ,2,0.66,0.71,OK
