sub,run,mean_FD,max_FD,FD_outliers,epi_mni_corr,t1_mni_corr,flag
sub-39,1,0.126385,1.00284 ,2,0.70,0.72,OK
sub-39,2,0.149519,0.528954 ,2,0.70,0.72,OK
